uniprot_id,gene,length,llps_score,prediction,in_training
P62253,UBE2G1,170,0.5325,LLPS+,novel
Q8NGX9,OR6P1,317,0.5321,LLPS+,novel
Q8NG97,OR2Z1,314,0.5314,LLPS+,novel
Q8NGT9,OR2A1,310,0.5306,LLPS+,novel
Q8NH08,OR10AC1,325,0.5306,LLPS+,novel
Q8NGC5,OR6J1,347,0.5283,LLPS+,novel
Q5VSD8,,79,0.5279,LLPS+,novel
Q9BTD1,SHANK2-AS3,123,0.5275,LLPS+,novel
Q8NGI4,OR4D11,311,0.5273,LLPS+,novel
P62508,ESRRG,458,0.527,LLPS+,novel
A6NM66,LINC01548,108,0.5265,LLPS+,novel
Q8NGZ4,OR2G3,309,0.5265,LLPS+,novel
Q8N1L1,LINC00528,170,0.5265,LLPS+,novel
Q8NGJ8,OR51S1,323,0.5251,LLPS+,novel
Q8NGR3,OR1K1,316,0.5245,LLPS+,novel
Q8NA97,FER1L6-AS1,138,0.5242,LLPS+,novel
Q8NGU4,OR2I1,315,0.5237,LLPS+,novel
Q8NGR4,OR5C1,320,0.5236,LLPS+,novel
Q8NGX5,OR10K1,313,0.5235,LLPS+,novel
Q8NGS1,OR1J4,313,0.5231,LLPS+,novel
Q8N8V8,TMEM105,129,0.522,LLPS+,novel
Q8NGR9,OR1N2,316,0.5214,LLPS+,novel
P0DXC3,NPIPA6,369,0.5212,LLPS+,novel
Q8NGN8,OR4A4P,299,0.5203,LLPS+,novel
Q8NGQ5,OR9Q1,310,0.5203,LLPS+,novel
Q8NGX3,OR10T2,314,0.5193,LLPS+,novel
Q8NGT7,OR2A12,310,0.5193,LLPS+,novel
Q8NGM8,OR6M1,313,0.5189,LLPS+,novel
Q8NH92,OR1S1,325,0.5184,LLPS+,novel
P01185,AVP,164,0.5182,LLPS+,novel
Q8NH87,OR9G1,305,0.5179,LLPS+,novel
Q5TEZ4,LINC01590,76,0.517,LLPS+,novel
P01258,CALCA,141,0.5168,LLPS+,novel
Q8NGH6,OR52L2P,319,0.5165,LLPS+,novel
Q8NGR6,OR1B1,317,0.5164,LLPS+,novel
Q8NGC4,OR10G3,313,0.516,LLPS+,novel
Q5T0J3,C1orf220,134,0.5159,LLPS+,novel
Q8NGF8,OR4B1,309,0.5155,LLPS+,novel
Q8NGJ0,OR5A1,315,0.5152,LLPS+,novel
A0A2R8YCJ5,SMIM41,93,0.513,LLPS+,novel
Q8NGK2,OR52B4,314,0.5129,LLPS+,novel
Q8NGG0,OR8J3,315,0.5128,LLPS+,novel
Q8NGQ1,OR9G4,327,0.5122,LLPS+,novel
Q8NGE3,OR10P1,313,0.5119,LLPS+,novel
P01567,IFNA7,189,0.5113,LLPS+,novel
Q8NG99,OR7G2,324,0.5111,LLPS+,novel
P05013,IFNA6,189,0.5093,LLPS+,novel
P62745,RHOB,196,0.5092,LLPS+,novel
P01374,LTA,205,0.5084,LLPS+,novel
Q8NGT2,OR13J1,312,0.5077,LLPS+,novel
Q8NG95,OR7G3,312,0.5069,LLPS+,novel
A0A0B4J279,TRAV21,112,0.5066,LLPS+,novel
Q8N2A0,LINC00269,174,0.5061,LLPS+,novel
Q8NH41,OR4K15,324,0.5058,LLPS+,novel
Q8NH63,OR51H1,302,0.5055,LLPS+,novel
Q8NGZ2,OR14K1,314,0.505,LLPS+,novel
P04435,TRBV7-9,115,0.5049,LLPS+,novel
P01236,PRL,227,0.5044,LLPS+,novel
Q8NG94,OR11H1,326,0.5041,LLPS+,novel
Q8NGN4,OR10G9,311,0.5037,LLPS+,novel
Q8NGG1,OR8J2,315,0.5035,LLPS+,novel
Q8NGC6,OR4K17,312,0.503,LLPS+,novel
Q8NGP2,OR8J1,316,0.5026,LLPS+,novel
Q8NGK5,OR52M1,317,0.5024,LLPS+,novel
Q8NGY5,OR6N1,312,0.5023,LLPS+,novel
Q8NGS8,OR13C5,318,0.5019,LLPS+,novel
Q8NGQ6,OR9I1,314,0.5018,LLPS+,novel
P62333,PSMC6,389,0.5014,LLPS+,novel
Q8NGP0,OR4C13,309,0.5013,LLPS+,novel
Q8NH40,OR6S1,331,0.5005,LLPS+,novel
Q8NH07,OR11H2,326,0.5001,LLPS+,novel
P62424,RPL7A,266,0.5,LLPS+,novel
Q8NGA8,OR4F17,305,0.4996,LLPS-,novel
Q8NGX2,OR2T35,323,0.4992,LLPS-,novel
Q8NGD5,OR4K14,310,0.499,LLPS-,novel
Q8NGB2,OR4C5,326,0.4983,LLPS-,novel
Q8NH42,OR4K13,304,0.4983,LLPS-,novel
Q8NH43,OR4L1,312,0.4978,LLPS-,novel
P01571,IFNA17,189,0.4976,LLPS-,novel
P05015,IFNA16,189,0.4975,LLPS-,novel
P01568,IFNA21,189,0.4971,LLPS-,novel
Q8NH49,OR4X1,305,0.4963,LLPS-,novel
Q8NGT1,OR2K2,316,0.4956,LLPS-,novel
P01308,INS,110,0.4951,LLPS-,novel
Q8NGA6,OR10H5,315,0.4951,LLPS-,novel
Q8NH19,OR10AG1,301,0.4946,LLPS-,novel
A0A2R8Y7Y5,CIST1,234,0.4946,LLPS-,novel
Q8NGQ4,OR10Q1,319,0.4941,LLPS-,novel
Q8NGE9,OR9Q2,314,0.494,LLPS-,novel
Q8NGN2,OR10S1,331,0.4937,LLPS-,novel
Q8NGA2,OR7A2P,310,0.493,LLPS-,novel
Q8NGN6,OR10G7,311,0.4928,LLPS-,novel
Q8NGX0,OR11L1,322,0.4908,LLPS-,novel
Q8NH74,OR10A6,314,0.4905,LLPS-,novel
Q8NGZ5,OR2G2,317,0.4905,LLPS-,novel
Q8NGY1,OR10Z1,313,0.4899,LLPS-,novel
P62306,SNRPF,86,0.4892,LLPS-,novel
Q8NH18,OR5J2,312,0.4885,LLPS-,novel
Q8NGX1,OR2T34,318,0.4883,LLPS-,novel
Q8NGN7,OR10D4P,298,0.4883,LLPS-,novel
Q5T870,PRR9,116,0.4864,LLPS-,novel
Q8NH05,OR4Q3,313,0.486,LLPS-,novel
Q8NGD3,OR4K5,323,0.4858,LLPS-,novel
Q8NH03,OR2T3,318,0.4858,LLPS-,novel
Q8NGS2,OR1J2,313,0.4858,LLPS-,novel
Q8NGJ1,OR4D6,314,0.4851,LLPS-,novel
Q6W349,LINC00575,94,0.4849,LLPS-,novel
Q8NGH7,OR52L1,329,0.4839,LLPS-,novel
Q8NGZ6,OR6F1,308,0.4835,LLPS-,novel
Q8NGN3,OR10G4,311,0.4831,LLPS-,novel
Q8NH04,OR2T27,317,0.4826,LLPS-,novel
Q8NGJ9,OR51T1,327,0.4823,LLPS-,novel
Q8NGB8,OR4F15,312,0.4816,LLPS-,novel
Q8NGT0,OR13C9,318,0.4793,LLPS-,novel
A6NHS1,,94,0.4787,LLPS-,novel
Q8NH10,OR8U1,309,0.4784,LLPS-,novel
Q8NH94,OR1L1,360,0.4777,LLPS-,novel
Q8NGW1,OR6B3,331,0.4775,LLPS-,novel
Q8NGZ0,OR2AJ1,328,0.4768,LLPS-,novel
P01210,PENK,267,0.4767,LLPS-,novel
Q8NGL0,OR5L2,311,0.4766,LLPS-,novel
Q8NGF9,OR4X2,303,0.4762,LLPS-,novel
Q8NGB9,OR4F6,312,0.4755,LLPS-,novel
Q8NGC2,OR4E2,313,0.4753,LLPS-,novel
Q8NGK9,OR5D16,328,0.4745,LLPS-,novel
Q8NHC8,OR2T6,308,0.4734,LLPS-,novel
Q8NGB6,OR4M2,313,0.4734,LLPS-,novel
Q8NGM1,OR4C15,316,0.4734,LLPS-,novel
Q8NGE5,OR10A7,316,0.4734,LLPS-,novel
Q8NGC0,OR5AU1,362,0.4726,LLPS-,novel
P01563,IFNA2,188,0.4718,LLPS-,novel
Q8NGL2,OR5L1,311,0.4716,LLPS-,novel
Q8NGV0,OR2Y1,311,0.4715,LLPS-,novel
Q8NH01,OR2T11,316,0.4709,LLPS-,novel
P0C645,OR4E1,315,0.4706,LLPS-,novel
Q8NGF4,OR5AP2,316,0.4698,LLPS-,novel
Q8NGQ3,OR1S2,325,0.4693,LLPS-,novel
Q8NGS3,OR1J1,322,0.4691,LLPS-,novel
Q8NH59,OR51Q1,317,0.4687,LLPS-,novel
Q8NGQ2,OR6Q1,317,0.4685,LLPS-,novel
Q8NGT5,OR9A2,310,0.4679,LLPS-,novel
Q8NGH3,OR2D3,330,0.4674,LLPS-,novel
Q8NGB4,OR4S1,309,0.467,LLPS-,novel
A6NDN8,,102,0.467,LLPS-,novel
Q8NGF1,OR52R1,315,0.4647,LLPS-,novel
Q8NGS6,OR13C3,347,0.4645,LLPS-,novel
Q8NGC7,OR11H6,330,0.4635,LLPS-,novel
P62312,LSM6,80,0.4626,LLPS-,novel
Q8NGD2,OR4K2,314,0.4625,LLPS-,novel
Q8NH50,OR8K5,307,0.4618,LLPS-,novel
Q8NGD1,OR4N2,307,0.4608,LLPS-,novel
Q8NGJ7,OR51A2,313,0.4595,LLPS-,novel
Q9H478,KCNQ1DN,68,0.4577,LLPS-,novel
Q8NGG6,OR8B12,310,0.4565,LLPS-,novel
Q8NGX8,OR6Y1,325,0.4565,LLPS-,novel
Q8NGC1,OR11G2,345,0.4563,LLPS-,novel
A0A0B4J234,TRAV2,112,0.456,LLPS-,novel
Q8NGA1,OR1M1,313,0.4554,LLPS-,novel
Q8NGS9,OR13C2,318,0.4551,LLPS-,novel
Q8NGA5,OR10H4,316,0.4544,LLPS-,novel
Q8NGY7,OR10J6P,276,0.4543,LLPS-,novel
A0A0C4DH59,TRBV5-4,114,0.4541,LLPS-,novel
Q8NGU1,OR9A1P,314,0.454,LLPS-,novel
Q8NGG7,OR8A1,326,0.4536,LLPS-,novel
Q8NGK1,OR51G1,321,0.452,LLPS-,novel
A0A0B4J266,TRAV41,112,0.4517,LLPS-,novel
Q8NGK3,OR52K2,314,0.4516,LLPS-,novel
P01733,TRBV12-3,115,0.4514,LLPS-,novel
Q8NGN5,OR10G8,311,0.4514,LLPS-,novel
Q8NGK6,OR52I1,324,0.4512,LLPS-,novel
Q8NH57,OR52P1,321,0.4501,LLPS-,novel
Q8NH64,OR51A7,312,0.4495,LLPS-,novel
Q8NGL6,OR4A15,344,0.4495,LLPS-,novel
Q8NGD4,OR4K1,311,0.4494,LLPS-,novel
Q8NG92,OR13H1,308,0.4493,LLPS-,novel
Q5T7R7,C1orf185,199,0.449,LLPS-,novel
Q8NGP3,OR5M9,310,0.4486,LLPS-,novel
Q8N1I8,CACTIN-AS1,211,0.4485,LLPS-,novel
Q8NGJ6,OR51A4,313,0.4481,LLPS-,novel
Q8NH69,OR5W2,310,0.4477,LLPS-,novel
Q8NGJ5,OR51L1,315,0.4461,LLPS-,novel
Q8NGX6,OR10R2,335,0.4458,LLPS-,novel
Q8NGR2,OR1L6,347,0.4453,LLPS-,novel
Q8NGC9,OR11H4,324,0.4452,LLPS-,novel
A0A286YF18,SMIM44,149,0.445,LLPS-,novel
Q8NGE1,OR6C4,309,0.445,LLPS-,novel
A1L157,TSPAN11,253,0.4445,LLPS-,novel
Q8NGE0,OR10AD1,317,0.444,LLPS-,novel
Q8NGG3,OR5T3,340,0.4439,LLPS-,novel
Q8NGF3,OR51D1,324,0.4435,LLPS-,novel
Q8NH70,OR4A16,328,0.4434,LLPS-,novel
Q8NGV5,OR13D1,346,0.4433,LLPS-,novel
Q8NGS0,OR1N1,311,0.4428,LLPS-,novel
Q8NGJ3,OR52E1,308,0.4427,LLPS-,novel
P04433,IGKV3-11,115,0.4426,LLPS-,novel
Q8NGS5,OR13C4,318,0.4425,LLPS-,novel
Q8NH85,OR8U3,324,0.4424,LLPS-,novel
Q6P435,,159,0.4424,LLPS-,novel
Q8NGD0,OR4M1,313,0.4423,LLPS-,novel
P01286,GHRH,108,0.442,LLPS-,novel
Q8NH72,OR4C6,309,0.4402,LLPS-,novel
Q8NGJ2,OR52H1,314,0.4391,LLPS-,novel
A0A0B4J277,TRAV22,110,0.4383,LLPS-,novel
P01242,GH2,217,0.438,LLPS-,novel
Q8NGK4,OR52K1,314,0.4372,LLPS-,novel
Q8NGJ4,OR52E2,325,0.437,LLPS-,novel
Q8NH67,OR52I2,350,0.4369,LLPS-,novel
Q8NGS4,OR13F1,319,0.4368,LLPS-,novel
Q8NGL3,OR5D14,314,0.4362,LLPS-,novel
Q8NH02,OR2T29,315,0.4349,LLPS-,novel
Q8NH53,OR52N1,320,0.4342,LLPS-,novel
A0A0B4J274,TRAV20,112,0.4341,LLPS-,novel
Q8NH51,OR8K3,312,0.4339,LLPS-,novel
Q8NGZ3,OR13G1,307,0.4338,LLPS-,novel
Q8NGV7,OR5H2,309,0.4334,LLPS-,novel
Q8NGP9,OR5AR1,310,0.4334,LLPS-,novel
Q8NGH9,OR52E4,312,0.4327,LLPS-,novel
A0A0B4J2E0,TRBV12-4,115,0.4318,LLPS-,novel
Q8NGL1,OR5D18,313,0.4308,LLPS-,novel
Q8NGE7,OR9K2,335,0.4303,LLPS-,novel
Q8NGR8,OR1L8,309,0.4298,LLPS-,novel
Q8NGI9,OR5A2,324,0.4296,LLPS-,novel
Q9NZ38,IDI2-AS1,188,0.4295,LLPS-,novel
Q8NGU2,OR9A4,314,0.4295,LLPS-,novel
Q8NGZ9,OR2T10,312,0.4289,LLPS-,novel
Q8NGI2,OR52N4,321,0.4289,LLPS-,novel
P0C1H6,H2BW2,154,0.4264,LLPS-,novel
Q8NGE2,OR2AP1,309,0.4261,LLPS-,novel
Q9UFV3,,132,0.4258,LLPS-,novel
Q8NGG4,OR8H1,311,0.4256,LLPS-,novel
Q8NGR1,OR13A1,328,0.4255,LLPS-,novel
Q8NH37,OR4C3,302,0.4249,LLPS-,novel
Q8NGM9,OR8D4,314,0.4247,LLPS-,novel
Q8NGI0,OR52N2,321,0.4245,LLPS-,novel
P01241,GH1,217,0.4234,LLPS-,novel
P01375,TNF,233,0.4228,LLPS-,novel
Q8NGK0,OR51G2,314,0.4227,LLPS-,novel
P01282,VIP,170,0.4221,LLPS-,novel
Q6UXP9,UNQ9370/PRO34162,181,0.4211,LLPS-,novel
A6NGY3,C5orf52,159,0.421,LLPS-,novel
A0A0B4J263,TRAV39,110,0.421,LLPS-,novel
Q5T3Y7,POPDC1-AS1,98,0.4205,LLPS-,novel
Q8NGF0,OR52B6,335,0.4196,LLPS-,novel
P01584,IL1B,269,0.4195,LLPS-,novel
Q8NH55,OR52E5,327,0.4193,LLPS-,novel
Q8NGP4,OR5M3,307,0.4192,LLPS-,novel
Q8NGY6,OR6N2,317,0.4191,LLPS-,novel
P62491,RAB11A,216,0.4183,LLPS-,novel
Q8NH48,OR5B3,314,0.4174,LLPS-,novel
Q8NGY3,OR6K3,331,0.4162,LLPS-,novel
Q8NGG5,OR8K1,319,0.4154,LLPS-,novel
A0A0B4J245,TRAV12-1,112,0.4147,LLPS-,novel
Q8NGP6,OR5M8,311,0.4137,LLPS-,novel
Q6XCG6,PP632,107,0.4136,LLPS-,novel
A0A411D538,SCPPPQ1,79,0.4129,LLPS-,novel
Q8NGS7,OR13C8,320,0.4125,LLPS-,novel
Q9Y6C7,LINC00312,94,0.411,LLPS-,novel
Q8NH60,OR52J3,311,0.4109,LLPS-,novel
Q8NGW6,OR6K6,343,0.4106,LLPS-,novel
Q8NGY2,OR6K2,324,0.4093,LLPS-,novel
Q8NG85,OR2L3,312,0.4091,LLPS-,novel
Q8NH56,OR52N5,324,0.4086,LLPS-,novel
Q8NGY9,OR2L8,312,0.4086,LLPS-,novel
P62714,PPP2CB,309,0.4068,LLPS-,novel
Q8NGR5,OR1L4,311,0.4067,LLPS-,novel
A0A0C4DH25,IGKV3D-20,116,0.4064,LLPS-,novel
Q8NGV6,OR5H6,325,0.4062,LLPS-,novel
P01570,IFNA14,189,0.4041,LLPS-,novel
Q8NGH8,OR56A4,313,0.4037,LLPS-,novel
Q8NGI1,OR56B2,316,0.4002,LLPS-,novel
A0A0C4DH68,IGKV2-24,120,0.3998,LLPS-,novel
Q8NGI3,OR56B1,324,0.3998,LLPS-,novel
P01229,LHB,141,0.3996,LLPS-,novel
Q8NGG8,OR8B3,313,0.3986,LLPS-,novel
Q495D7,LINC01559,138,0.3979,LLPS-,novel
Q6UWF5,UNQ5815/PRO19632,114,0.3977,LLPS-,novel
Q8NGL4,OR5D13,314,0.3969,LLPS-,novel
P62826,RAN,216,0.3952,LLPS-,novel
Q8NH16,OR2L2,312,0.3933,LLPS-,novel
A0A0B4J273,TRAV34,112,0.3929,LLPS-,novel
P01298,PPY,95,0.3919,LLPS-,novel
P62750,RPL23A,156,0.3906,LLPS-,train
Q8NH00,OR2T4,348,0.3904,LLPS-,novel
A0A0C4DH55,IGKV3D-7,119,0.3897,LLPS-,novel
Q8NGF7,OR5B17,314,0.3895,LLPS-,novel
P62070,RRAS2,204,0.3881,LLPS-,novel
A0A0B4J265,TRAV26-2,109,0.3866,LLPS-,novel
P01574,IFNB1,187,0.3836,LLPS-,novel
Q8NGG2,OR5T2,359,0.3835,LLPS-,novel
P0DV60,LCE7A,95,0.3834,LLPS-,novel
A4D0Y5,LINC03043,90,0.3816,LLPS-,novel
P01303,NPY,97,0.3815,LLPS-,novel
P62266,RPS23,143,0.381,LLPS-,novel
Q8NH54,OR56A3,315,0.3797,LLPS-,novel
Q8NGH5,OR56A1,318,0.3784,LLPS-,novel
A0PG75,PLSCR5,271,0.3783,LLPS-,novel
Q8N377,,158,0.3762,LLPS-,novel
A0A8V8TMC4,CCNYL1B,285,0.3759,LLPS-,novel
Q8N8J0,PI4KAP1,262,0.3751,LLPS-,novel
Q8NH61,OR51F2,342,0.3749,LLPS-,novel
P62834,RAP1A,184,0.3747,LLPS-,novel
Q8NH73,OR4S2,311,0.3741,LLPS-,novel
P01270,PTH,115,0.3741,LLPS-,novel
A0PJZ0,ANKRD20A5P,165,0.3733,LLPS-,novel
A0A1W2PPG7,GNG14,107,0.3725,LLPS-,novel
Q8N9L7,,120,0.372,LLPS-,novel
P61970,NUTF2,127,0.3705,LLPS-,novel
A6NIU2,LINC01549,74,0.3698,LLPS-,novel
A0A0C4DH69,IGKV1-9,117,0.369,LLPS-,novel
Q9H8Q6,HEXA-AS1,139,0.366,LLPS-,novel
P06310,IGKV2-30,120,0.3643,LLPS-,novel
Q8N8G6,LINC02915,183,0.3635,LLPS-,novel
Q9HAA7,,133,0.3632,LLPS-,novel
A0A2R8YFL7,OOSP4A,184,0.3626,LLPS-,novel
A0A0B4J276,TRAV25,109,0.3616,LLPS-,novel
Q9UKV3,ACIN1,1341,0.3611,LLPS-,novel
Q9P1D8,PRO2289,64,0.3578,LLPS-,novel
Q8NGP8,OR5M1,315,0.3571,LLPS-,novel
Q9UI72,PRO0255,69,0.3568,LLPS-,novel
A0A0C4DH35,IGHV3-35,117,0.3564,LLPS-,novel
A0A3B3IU46,RAMACL,118,0.3563,LLPS-,novel
A0A0B4J237,TRAV8-2,113,0.3559,LLPS-,novel
A0A0B4J248,TRAV1-1,108,0.3559,LLPS-,novel
A0A0B4J271,TRAV12-3,114,0.3555,LLPS-,novel
A0A1W2PQU2,KANTR,76,0.3553,LLPS-,novel
Q9UI25,PRO0461,63,0.3545,LLPS-,novel
A0A0J9YX75,TRBV6-9,114,0.3534,LLPS-,novel
A0A0C4DH30,IGHV3-16,117,0.3525,LLPS-,novel
Q9H307,PNN,717,0.3513,LLPS-,novel
Q9H693,C16orf95,158,0.351,LLPS-,novel
Q5STR5,SMIM40,79,0.3502,LLPS-,novel
P61981,YWHAG,247,0.3501,LLPS-,novel
Q4KMX7,FAM106A,169,0.3496,LLPS-,novel
Q8N8P6,,123,0.3494,LLPS-,novel
P62330,ARF6,175,0.3485,LLPS-,novel
A0A0B4J2D9,IGKV1D-13,117,0.3462,LLPS-,novel
